name,type,linkid
Gods Gift 14 Days, action crime fantasy melodrama mystery thriller time travel ,http://www.dramacool.com/gods-gift-14-days-episode-1.html
Gods Gift - 14 Days Later, ,http://www.dramacool.com/gods-gift-14-days-later-episode-1.html
Gods Quiz 3, romance ,http://www.dramacool.com/god-s-quiz-3-episode-1.html
Gods Quiz 3, ,http://www.dramacool.com/gods-quiz-3-episode-1.html
Gods Quiz S04, crime drama medical mystery ,http://www.dramacool.com/gods-quiz-s04-episode-1.html
Golden Cross, crime family melodrama romance suspense thriller ,http://www.dramacool.com/golden-cross-episode-1.html
Golden Rainbow, family melodrama romance ,http://www.dramacool.com/golden-rainbow-episode-1.html
Golden Time, medical romance ,http://www.dramacool.com/golden-time-episode-1.html
Good Doctor, family human medical melodrama romance ,http://www.dramacool.com/good-doctor-episode-1.html
Goong, comedy romance ,http://www.dramacool.com/goong-drama-episode-1.html
Goodbye Dear Wife, comedy drama family romance ,http://www.dramacool.com/goodbye-dear-wife-episode-1.html
Gourmet, romance ,http://www.dramacool.com/gourmet-episode-1.html
Gu Family Book, fantasy historical human melodrama romance ,http://www.dramacool.com/gu-family-book-episode-1.html
Gu Am Heo Joon, ,http://www.dramacool.com/gu-am-heo-joon-episode-1.html
Gumiho Tale of The Foxs Child, melodrama period thriller ,http://www.dramacool.com/gumiho-tale-of-the-foxs-child-episode-1.html
Haeundae Lovers, comedy romantic ,http://www.dramacool.com/haeundae-lovers-drama-episode-1.html
Harvest Villa, comedy suspense ,http://www.dramacool.com/harvest-villa-drama-episode-1.html
Heading to the Ground, romance sports ,http://www.dramacool.com/heading-to-the-ground-episode-1.html
Hateful But Once Again, romance ,http://www.dramacool.com/hateful-but-once-again-episode-1.html
Heart Is Beating, ,http://www.dramacool.com/heart-is-beating-episode-1.html
Heartstrings, music romance ,http://www.dramacool.com/heartstrings-drama-episode-1.html
Heartless City, action crime romance thriller ,http://www.dramacool.com/heartless-city-episode-1.html
Heavens Garden, ,http://www.dramacool.com/heavens-garden-episode-1.html
Her Legend, drama family human romance ,http://www.dramacool.com/her-legend-episode-1.html
Hero (2012), action fantasy ,http://www.dramacool.com/hero-2012-episode-1.html
Her Lovely Heels, romance ,http://www.dramacool.com/her-lovely-heels-episode-1.html
Hope for Dating, ,http://www.dramacool.com/hope-for-dating-episode-1.html
Hero 2009, comedy ,http://www.dramacool.com/hero-episode-1.html
History of the Salaryman, drama ,http://www.dramacool.com/history-of-the-salaryman-episode-1.html
Horse Doctor, historical medical romance ,http://www.dramacool.com/horse-doctor-episode-1.html
Hotel King, drama romance ,http://www.dramacool.com/hotel-king-episode-1.html
Hundred Year Inheritance, family romance ,http://www.dramacool.com/hundred-year-inheritance-drama-episode-1.html
Hwayi A Monster Boy 2013, ,http://www.dramacool.com/hwayi-a-monster-boy-2013-episode-1.html
I Am Legend, law music romance ,http://www.dramacool.com/i-am-legend-episode-1.html
I am Pregnant With Your Baby, ,http://www.dramacool.com/im-pregnant-with-your-baby-episode-1.html
