name,type,linkid
Startling by Each Step (Bu Bu Jing Xin), period drama romance ,http://www.dramacool.com/startling-by-each-step-bu-bu-jing-xin-episode-1.html
Startling Love With Each Step 2, romance ,http://www.dramacool.com/startling-love-with-each-step-2-episode-1.html
Struggle, drama human romance ,http://www.dramacool.com/struggle-episode-1.html
Swordsman, classic ,http://www.dramacool.com/swordsman-episode-1.html
Symphony of Fate, drama romance ,http://www.dramacool.com/symphony-of-fate-episode-1.html
Tao Nv Lang, drama family romance youth ,http://www.dramacool.com/tao-nv-lang-episode-1.html
The Apostles, horror thriller ,http://www.dramacool.com/the-apostles-episode-1.html
The City Of Warriors, drama ,http://www.dramacool.com/the-city-of-warriors-episode-1.html
The Demi Gods And Semi Devils, action adventure drama period ,http://www.dramacool.com/the-demi-gods-and-semi-devils--episode-1.html
The Little Fairy, ,http://www.dramacool.com/the-little-fairy-episode-1.html
The Gun, action suspense ,http://www.dramacool.com/-the-gun-episode-1.html
The King of Legend, ,http://www.dramacool.com/the-king-of-legend-episode-1.html
The Master of The House, drama family ,http://www.dramacool.com/the-master-of-the-house-episode-1.html
The Myth, adventure historical martialarts romance ,http://www.dramacool.com/the-myth-episode-1.html
The Patriot Yue Fei, action drama ,http://www.dramacool.com/the-patriot-yue-fei-episode-1.html
The Rise of the Great Nations, drama ,http://www.dramacool.com/the-rise-of-the-great-nations-episode-1.html
The Queen of SOP, drama modern romance ,http://www.dramacool.com/the-queen-of-sop-episode-1.html
The Sky Of The Emily, drama romance ,http://www.dramacool.com/the-sky-of-the-emily--episode-1.html
The Temptation to Go Home, ,http://www.dramacool.com/the-temptation-to-go-home-episode-1.html
The Royal Harem, ,http://www.dramacool.com/the-royal-harem-episode-1.html
Wang Zhao JunLiu De Kai as Emperor Yuan, drama historical ,http://www.dramacool.com/wang-zhao-jun-episode-1.html
Warriors of Heaven and Earth, action adventure drama ,http://www.dramacool.com/warriors-of-heaven-and-earth-episode-1.html
Woman Gang, drama ,http://www.dramacool.com/woman-bang-episode-1.html
Tiptoe to Kiss Love, comedy drama romance ,http://www.dramacool.com/tiptoe-to-kiss-love-episode-1.html
Woman In A Family Of Swordsman, drama historical ,http://www.dramacool.com/woman-in-a-family-of-swordsman-episode-1.html
Xing Fu Cong Tian Er Jiang, comedy romance ,http://www.dramacool.com/xing-fu-cong-tian-er-jiang--episode-1.html
Xiao Bao He Lao Cai, comedy drama ,http://www.dramacool.com/xiao-bao-he-lao-cai-episode-1.html
Xiu Zhen Ma Ma, drama family ,http://www.dramacool.com/xiu-zhen-ma-ma-episode-1.html
Xing Fu Xi Fu Cheng Zhang Ji, drama romance ,http://www.dramacool.com/xing-fu-xi-fu-cheng-zhang-ji-episode-1.html
Yong Zheng Dynasty, drama historical ,http://www.dramacool.com/yong-zheng-dynasty-episode-1.html
Young Heroes, action drama martialarts period ,http://www.dramacool.com/young-heroes-episode-1.html
